Time Stamp: 5.088421, Centroid  X: 172, Y: 452
Time Stamp: 5.13013, Centroid  X: 172, Y: 452
Time Stamp: 5.171838, Centroid  X: 172, Y: 451
Time Stamp: 5.213546, Centroid  X: 172, Y: 452
Time Stamp: 5.255255, Centroid  X: 172, Y: 452
Time Stamp: 5.296963, Centroid  X: 172, Y: 452
Time Stamp: 5.338672, Centroid  X: 172, Y: 452
Time Stamp: 5.38038, Centroid  X: 172, Y: 452
Time Stamp: 5.422088, Centroid  X: 172, Y: 452
Time Stamp: 5.463797, Centroid  X: 172, Y: 452
Time Stamp: 5.505505, Centroid  X: 172, Y: 452
Time Stamp: 5.547213, Centroid  X: 171, Y: 453
Time Stamp: 5.588922, Centroid  X: 171, Y: 453
Time Stamp: 5.63063, Centroid  X: 170, Y: 453
Time Stamp: 5.672339, Centroid  X: 170, Y: 453
Time Stamp: 5.714047, Centroid  X: 170, Y: 454
Time Stamp: 5.755755, Centroid  X: 169, Y: 454
Time Stamp: 5.797464, Centroid  X: 169, Y: 454
Time Stamp: 5.839172, Centroid  X: 169, Y: 454
Time Stamp: 5.88088, Centroid  X: 169, Y: 454
Time Stamp: 5.922589, Centroid  X: 168, Y: 455
Time Stamp: 5.964297, Centroid  X: 168, Y: 455
Time Stamp: 6.006006, Centroid  X: 168, Y: 455
Time Stamp: 6.047714, Centroid  X: 167, Y: 456
Time Stamp: 6.089422, Centroid  X: 164, Y: 456
Time Stamp: 6.131131, Centroid  X: 164, Y: 456
Time Stamp: 6.172839, Centroid  X: 163, Y: 457
Time Stamp: 6.214547, Centroid  X: 163, Y: 457
Time Stamp: 6.256256, Centroid  X: 162, Y: 458
Time Stamp: 6.297964, Centroid  X: 161, Y: 458
Time Stamp: 6.339673, Centroid  X: 161, Y: 459
Time Stamp: 6.381381, Centroid  X: 160, Y: 459
Time Stamp: 6.423089, Centroid  X: 160, Y: 460
Time Stamp: 6.464798, Centroid  X: 159, Y: 460
Time Stamp: 6.506506, Centroid  X: 159, Y: 460
Time Stamp: 6.548214, Centroid  X: 159, Y: 461
Time Stamp: 6.589923, Centroid  X: 158, Y: 461
Time Stamp: 6.631631, Centroid  X: 158, Y: 461
Time Stamp: 6.67334, Centroid  X: 157, Y: 461
Time Stamp: 6.715048, Centroid  X: 157, Y: 462
Time Stamp: 6.756756, Centroid  X: 156, Y: 462
Time Stamp: 6.798465, Centroid  X: 155, Y: 463
Time Stamp: 6.840173, Centroid  X: 155, Y: 463
Time Stamp: 6.881881, Centroid  X: 154, Y: 463
Time Stamp: 6.92359, Centroid  X: 153, Y: 464
Time Stamp: 6.965298, Centroid  X: 152, Y: 464
Time Stamp: 7.007007, Centroid  X: 152, Y: 464
Time Stamp: 7.048715, Centroid  X: 151, Y: 465
Time Stamp: 7.090423, Centroid  X: 150, Y: 465
Time Stamp: 7.132132, Centroid  X: 149, Y: 465
Time Stamp: 7.17384, Centroid  X: 149, Y: 465
Time Stamp: 7.215548, Centroid  X: 148, Y: 466
Time Stamp: 7.257257, Centroid  X: 147, Y: 467
Time Stamp: 7.298965, Centroid  X: 146, Y: 467
Time Stamp: 7.340674, Centroid  X: 145, Y: 468
Time Stamp: 7.382382, Centroid  X: 144, Y: 468
Time Stamp: 7.42409, Centroid  X: 144, Y: 468
Time Stamp: 7.465799, Centroid  X: 143, Y: 468
Time Stamp: 7.507507, Centroid  X: 141, Y: 469
Time Stamp: 7.549215, Centroid  X: 140, Y: 470
Time Stamp: 7.590924, Centroid  X: 139, Y: 470
Time Stamp: 7.632632, Centroid  X: 138, Y: 471
Time Stamp: 7.674341, Centroid  X: 136, Y: 472
Time Stamp: 7.716049, Centroid  X: 135, Y: 472
Time Stamp: 7.757757, Centroid  X: 134, Y: 473
Time Stamp: 7.799466, Centroid  X: 134, Y: 473
Time Stamp: 7.841174, Centroid  X: 134, Y: 473
Time Stamp: 7.882882, Centroid  X: 133, Y: 473
Time Stamp: 7.924591, Centroid  X: 133, Y: 474
Time Stamp: 7.966299, Centroid  X: 132, Y: 474
Time Stamp: 8.008008, Centroid  X: 131, Y: 475
Time Stamp: 8.049716, Centroid  X: 131, Y: 473
Time Stamp: 8.091424, Centroid  X: 127, Y: 479
Time Stamp: 8.133133, Centroid  X: 127, Y: 478
Time Stamp: 8.174841, Centroid  X: 126, Y: 478
Time Stamp: 8.216549, Centroid  X: 125, Y: 479
Time Stamp: 8.258258, Centroid  X: 125, Y: 479
Time Stamp: 8.299966, Centroid  X: 124, Y: 480
Time Stamp: 8.341675, Centroid  X: 123, Y: 481
Time Stamp: 8.383383, Centroid  X: 123, Y: 480
Time Stamp: 8.425091, Centroid  X: 121, Y: 482
Time Stamp: 8.4668, Centroid  X: 120, Y: 483
Time Stamp: 8.508508, Centroid  X: 119, Y: 483
Time Stamp: 8.550216, Centroid  X: 119, Y: 484
Time Stamp: 8.591925, Centroid  X: 118, Y: 484
Time Stamp: 8.633633, Centroid  X: 117, Y: 485
Time Stamp: 8.675342, Centroid  X: 117, Y: 486
Time Stamp: 8.71705, Centroid  X: 116, Y: 487
Time Stamp: 8.758758, Centroid  X: 115, Y: 488
Time Stamp: 8.800467, Centroid  X: 115, Y: 489
Time Stamp: 8.842175, Centroid  X: 114, Y: 490
Time Stamp: 8.883883, Centroid  X: 114, Y: 490
Time Stamp: 8.925592, Centroid  X: 113, Y: 490
Time Stamp: 8.9673, Centroid  X: 113, Y: 490
Time Stamp: 9.009009, Centroid  X: 113, Y: 491
Time Stamp: 9.050717, Centroid  X: 112, Y: 491
Time Stamp: 9.092425, Centroid  X: 112, Y: 492
Time Stamp: 9.134134, Centroid  X: 111, Y: 492
Time Stamp: 9.175842, Centroid  X: 111, Y: 493
Time Stamp: 9.21755, Centroid  X: 110, Y: 493
Time Stamp: 9.259259, Centroid  X: 110, Y: 494
Time Stamp: 9.300967, Centroid  X: 109, Y: 494
Time Stamp: 9.342676, Centroid  X: 109, Y: 494
Time Stamp: 9.384384, Centroid  X: 108, Y: 495
Time Stamp: 9.426092, Centroid  X: 108, Y: 495
Time Stamp: 9.467801, Centroid  X: 107, Y: 495
Time Stamp: 9.509509, Centroid  X: 107, Y: 495
Time Stamp: 9.551217, Centroid  X: 106, Y: 496
Time Stamp: 9.592926, Centroid  X: 105, Y: 497
Time Stamp: 9.634634, Centroid  X: 105, Y: 497
Time Stamp: 9.676343, Centroid  X: 104, Y: 497
Time Stamp: 9.718051, Centroid  X: 106, Y: 496
